video_id,title,channel_id,channel_name,category,published_at,upload_hour,upload_day,view_count,like_count,comment_count,duration_seconds,tags,tag_count,title_length,title_word_count,engagement_rate,like_to_view_ratio,comment_to_view_ratio,subscriber_count,total_video_count,total_channel_views,country,performance_tier,duration_category,collected_at
1ISjwyIsg1s,Hello Neighbor - Sinister Rescue | Full Game Walkthrough,UCPW1L32EDQzcUmwMzq0sSiQ,Gaming with ACK,Gaming,2024-12-20 13:18:07,13,Friday,965433,4721,149,1407,"hello neighbor,hello neighbor 2,hello neighbor sinister rescue,hello neighbor sinister rescue mod,hello neighbor sinister rescue full game,hello neighbor animated series,hello neighbor mod,hello neighbor mods,hello neighbor full game walkthrough,hello neighbor gameplay,hello neighbor game",11,56,9,0.5044,0.489,0.0154,413000,1290,236686345,IN,High,Long,2026-04-03 10:58:23
1ixiVoEzSzs,Roommate | Stand up comedy ft Vidit Sharma #standupcomedy  #funny #trending #viralvideo  #standup,UCai38RWi7uTuT3oJuSMFufw,Vidit Sharma,Comedy,2026-04-02 11:34:59,11,Thursday,1091984,35944,115,154,no_tags,0,97,13,3.3022,3.2916,0.0105,427000,151,312355949,,Viral,Short,2026-04-03 10:58:49
1MelDdf2ZGo,Tech News 1712 ⚡ Smartphone Price Hikes Again 😳 Gmail Address Change 😳 vivo X300FE 🔥Nothing Ai Glass,UC4T2ovrPfl2fXjfZXrhFbzA,TechFacts in Telugu,Tech,2026-04-01 14:39:59,14,Wednesday,13929,877,57,422,"tech news in telugu,tech in telugu tech news,tech news in telugu today,technews,latest tech news in telugu,telugu technews,technews in telugu,tech in telugu,latest tech news telugu,tech news telugu,tech news telugu shorts,tech news telugu latest,technews telugu,today tech news telugu,tech news,daily tech news telugu,telugu tech news,tech news telugu today,techfacts in telugu gcam,techfacts in telugu,tech facts in telugu,tft,tft guide,technews tests",24,100,18,6.7054,6.2962,0.4092,655000,4453,234883593,IN,Medium,Medium,2026-04-03 10:58:06
1v4QIHZKEl0,AI Just Made 15 Discoveries We Never Expected,UCGBO6EahCqQSyXIws1MQdDg,Future Business Tech,Tech,2026-02-01 00:14:37,0,Sunday,51514,1319,66,1394,"ai,future business tech,future technology,future tech,future business technologies,future technologies,artificial intelligence",7,45,8,2.6886,2.5605,0.1281,157000,127,22997679,US,Medium,Long,2026-04-03 10:58:06
2gdugBRu-x8,Full Body Warmup Exercises Before Workout | Essential Pre-Workout Routine to Prevent Injuries,UC_b1HeX-dqGf_03lbwXHB3g,Muscle Adventure,Fitness,2024-11-06 15:16:45,15,Wednesday,1823145,59286,123,41,"Warmup,Mobilty drills,Warm up exercises before workout,stretching,Exercise,Bodyweight",6,93,13,3.2586,3.2519,0.0067,106000,234,54074229,IN,Viral,Short,2026-04-03 10:58:31
2HYdHPrEL_M,TAMIL NADU and its POLITICS | Standup Comedy | Manoj Prabakar,UCcM-gKMDCINDxI4faMiVCGw,manoj prabakar,Comedy,2026-03-18 11:30:05,11,Wednesday,153441,6701,1020,1153,"standup comedy,stand up comedy,evam stand up comedyel,manoj prabhakar stand up comedy,manoj prabakar,stand up comedy manoj prabhakar,stand up comedy by manoj prabhakar,tamil stand up comedy manoj prabhakar,tamil stand up comedy,stand-up comedy,manoj stand up comedy,stand up comedy tamil,manoj prabhakar comedy,stand up comedian manoj prabhakar,trending video,trending standup comedy,tamilnadu politics,tamilnadu politics jokes,maoj prabhakar comedy video",19,61,11,5.0319,4.3672,0.6648,53200,188,4013330,IN,High,Long,2026-04-03 10:58:49
333cF-V2b-4,Derivatives in 60 Seconds!! (Calculus),UCtKb4XNb_C8DHdlUXqDy-gw,Nicholas GKK,Education,2021-12-03 08:10:20,8,Friday,315774,7831,59,60,no_tags,0,38,5,2.4986,2.4799,0.0187,137000,799,48840328,US,High,Short,2026-04-03 10:58:40
38XyBuC6KuM,"Preschool Learning Videos for 3 Year Olds | Best Learn ABC, 123, Colors & Shapes | 3 Years Learning",UCZ8KDGk3POvKTHDnz3FonvQ,The Soft Roots,Education,2020-03-21 14:39:01,14,Saturday,24345328,79000,0,5347,"preschool learning videos for 3 year olds,learn abc phonics shapes numbers colors,abc 123 colors shapes,alphabets numbers colors shapes,preschool learning activities for 3 year olds at home,learning videos for 3 year olds,3 years learning videos,3 year learning activities,3 year learning,toddler learning videos for 3 year olds,preschool learning videos,learning,education,3 year old learning videos,3 years old learning,abc,123,colors,shapes,toddler learning videos,abcd",21,99,19,0.3245,0.3245,0.0,460000,3119,167503430,PK,Viral,Long,2026-04-03 10:58:40
3CayXFc6r8Q,Scott Galloway: Where to invest your money,UC1E1SVcVyU3ntWMSQEp38Yw,The Prof G Pod – Scott Galloway,Finance,2024-12-31 17:47:35,17,Tuesday,1478791,41891,700,50,"investing,investing for beginners,investment,investanswers,investment banking,scott galloway advice,scott galloway,professor scott galloway,scott galloway interview",9,42,7,2.8801,2.8328,0.0473,739000,1408,108084755,US,Viral,Short,2026-04-03 10:58:14
3eOkj9uCfT0,Shamik Chakrabarti: Despite Appearances | Full Stand-Up Comedy Special,UCmphmwYd7MvMecLzYzglQ-A,Shamik Chakrabarti,Comedy,2026-03-17 12:30:11,12,Tuesday,324448,14025,1917,4443,"shamik,shamik chakrabarti,shamik chakraborty,stand up comedy,indian stand up,india comedy,english comedy,mumbai comedy,bangalore comedy,edinburgh fringe,funny video,funny,comedy poecial,comicstaan,broke studio,comedy,english stand up comedy",17,70,9,4.9136,4.3227,0.5908,78800,97,12866899,IN,High,Long,2026-04-03 10:58:49
3esfKjVh7j8,Full week workout Plan -7 दिन ये चीज करके body बनाएं (100% गारंटी),UCaebxrfVje2g0nRQ92D8DfA,Desi Gym Fitness,Fitness,2024-09-16 13:22:27,13,Monday,954465,31351,618,436,"full week gym workout plan,Gym workout plan,full week workout plan,Desi Gym Fitness",4,66,13,3.3494,3.2847,0.0647,3280000,877,594329713,IN,High,Medium,2026-04-03 10:58:31
3ljRERhqIC4,"Tech News 2139 || Samsung Galaxy Z fold 8 & Z fold 8 Wide, realme 16, vivo V70 FE, Android 17.Etc..",UCb-xXZ7ltTvrh9C6DgB9H-Q,Prasadtechintelugu,Tech,2026-03-26 14:47:02,14,Thursday,154923,11439,317,604,"prasadtechintelugu,prasad,techtelugu,technews,Prasad tech in telugu",5,99,21,7.5883,7.3837,0.2046,5070000,5198,2084197772,IN,High,Long,2026-04-03 10:58:06
3PMrt-1WDaI,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE & LOSE FAT**,UCE2hIKMrB6Heg3b53NcoeLQ,Joe Delaney,Fitness,2023-10-09 16:43:10,16,Monday,1462244,41069,732,623,no_tags,0,76,12,2.8587,2.8086,0.0501,830000,466,106802087,GB,Viral,Long,2026-04-03 10:58:31
3R1g2oindb0,"👉 Colete suspecte 😂 | Vă iubeşte, tati! | Costel #standupcomedy Special #comedybox #standup #foryou",UCgmYwCf4lEVpXLL6BEZGLLQ,comedyboxro,Comedy,2026-04-03 08:29:09,8,Friday,2384,108,0,57,no_tags,0,99,15,4.5302,4.5302,0.0,53800,784,27223421,RO,Low,Short,2026-04-03 10:58:49
3VzF4m9FNcM,Made in India - Full Special | Stand-Up Comedy by Masoom Rajwani,UCEgXalZpZBfBzCvCOvhmroA,Masoom Rajwani,Comedy,2025-11-14 05:59:05,5,Friday,750469,34646,1441,2687,"masoom rajwani,masoom rajwani stand up comedy,indian stand up comedy,new video,jokes,political jokes,satire,satire on India,political comedy,jokes on politics,indian political humour,dark jokes,kintu parantu,cyrus broacha,india tour,live shows,reels,shorts,hype",19,64,12,4.8086,4.6166,0.192,152000,368,16861551,IN,High,Long,2026-04-03 10:58:49
3XFODda6YXo,AWS In 5 Minutes | What Is AWS? | AWS Tutorial For Beginners | AWS Training | Simplilearn,UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,Education,2020-07-08 14:30:00,14,Wednesday,1303560,19690,406,330,"aws,aws tutorial for beginners,aws tutorial,aws cloud,what is aws,what is aws cloud computing,what is aws and how it works,aws explained,aws explained simply,introduction to aws,aws introduction,amazon aws tutorial,aws training,aws training videos,amazon aws training,aws services,aws basics,aws in 5 minutes,aws certification training,aws solution architect certification,amzon web services,introduction to amazon web services,simplilearn aws,simplilearn",24,89,18,1.5416,1.5105,0.0311,6230000,10956,514845598,US,Viral,Medium,2026-04-03 10:58:40
3yskSy-lVpc,THIAGO VENTURA - 1 HORA DE STAND UP COMEDY,UCaLs_Nox5i_3KCVnsC_kttA,Thiago Ventura,Comedy,2026-04-03 00:00:06,0,Friday,12252,1033,44,3692,"Thiago Ventura,Stand Up Comedy,Comédia,Stand Up",4,42,9,8.7904,8.4313,0.3591,6340000,305,706499556,BR,Medium,Long,2026-04-03 10:58:49
3ZgOrduZYXg,Beginner Nail tech tutorial,UCc7qkJzXzeRWnUSGJ3SQ6Lg,GLAM STUDIO BY NORA,Education,2021-10-26 23:40:43,23,Tuesday,747398,22124,106,59,#begginernailtech #shorts #nailtutorials,1,27,4,2.9743,2.9601,0.0142,6500,121,1168861,,High,Short,2026-04-03 10:58:40
3ZmrW9a3tjo,Anxiety | Gurleen Pannu | Standup Comedy,UCVycT_OilwV-LfdqTtESCIA,Gurleen Pannu,Comedy,2025-02-20 12:30:09,12,Thursday,6545126,159508,2237,488,"gurleen,pannu,standup,standupcomedy,latent,hindicomedy,gurleenpaanu,indianstandup,hindi,comedy,igl,indiasgotlatent,samay,zakir,upmanyu,bassi,jokes,gurleenpannucomedy,femalecomic,anxiety,ghabrahat,delhi,mumbai,punjab,familycomedy,cleancomedy,prettygoodroast,ravigupta,samayraina,tanmaybhatt,hindistandup,comicstaan,ashishsolanki",33,40,7,2.4712,2.4371,0.0342,1150000,102,480657292,IN,Viral,Medium,2026-04-03 10:58:49
48DaZrlh8zg,My outdoor workout routine,UCgBg0LcHfnJDPmFTTf677Pw,Paul Saladino MD,Fitness,2024-06-20 17:28:41,17,Thursday,343127,13671,270,47,no_tags,0,26,4,4.0629,3.9842,0.0787,1100000,2082,344846155,US,High,Short,2026-04-03 10:58:31
4DaoJwI2SV8,GOD OF WAR 1 Gameplay Walkthrough FULL GAME [4K 60FPS PS5 PRO] - No Commentary,UC1bwliGvJogr7cWK0nT2Eag,MKIceAndFire,Gaming,2026-02-20 17:00:46,17,Friday,239115,3309,228,22680,"God Of War 1,God Of War 1 Gameplay,God Of War 1 Walkthrough Part 1,MKIceAndFire,No,Commentary,God Of War 1 Ending,God Of War 1 Full Game,Full Game,PS5 Pro,PS5,Xbox Series X,PS4,PC,Video Game,Campaign,Singleplayer",17,78,15,1.4792,1.3839,0.0954,4610000,7908,2726785591,,High,Long,2026-04-03 10:58:23
4JIYojtPyKE,"Tech News 2137 || Apple WWDC 2026, OnePlus Nord 6, Samsung Z Fold 8, Windows 11, Amazon Fake.Etc..",UCb-xXZ7ltTvrh9C6DgB9H-Q,Prasadtechintelugu,Tech,2026-03-24 14:15:01,14,Tuesday,146470,15040,312,583,"prasadtechintelugu,prasad,techtelugu,technews,Prasad tech in telugu",5,98,18,9.406,10.2683,0.213,5070000,5198,2084197772,IN,High,Medium,2026-04-03 10:58:06
4Z-KLkjICoY,Desi Boyfriend - A Standup Comedy Special By Harsh Gujral,UCGmhWgV9bmslB0Levatl6qA,Harsh gujral,Comedy,2026-02-06 12:00:06,12,Friday,5473893,150514,4961,2736,"comedy,Standupcomedy,jokes,kbc,funny,harshgujral,college boys,Youtubespecials,Genzkids,Indian marriage,Wedding Shopping,#comedy,#Standupcomedy,#jokes,#beststandupcomedy,#lateststandupcomedy,#funnyvideos,#joke,Harsh gujral,Bangkok,Thialand,VLogs,#datingapp,#GenZ,#B.TECH,#ENGINEERING,#HOSTEL,#IITIANS,#Campus,#IIT,#kotafactory,#aspirant,#engineeringclasses,samay raina,India got latent,Escape room",36,57,10,2.8403,2.7497,0.0906,2910000,43,405381312,,Viral,Long,2026-04-03 10:58:49
54zZ-8rs-CI,Understand Calculus in 1 minute,UCglNXzBo6bmKc9otKf-OuGQ,TabletClass Math,Education,2023-02-04 20:00:02,20,Saturday,757306,33627,389,57,"praxis,nystce,aepa,ftce,clep,aleks,cset,gmat math,gre math,nes math,Khan Academy,homeschool pre-calculus,pre-calculus,calculus,what is calculus,how difficult is calculus,understand calculus,what is calculus used for,what math do you need to take calculus,how hard is calculus,calculus help,calculus tutor,calculus lessons,calculus practice,derivatives,integral,calculus area problems",27,31,5,4.4917,4.4403,0.0514,975000,3991,172944612,US,High,Short,2026-04-03 10:58:40
5FyrbnrIVhY,OpenAI is starting to look desperate | Natasha Bernal,UCPiMR-Ize9p3dgjzZ8bo9ZQ,The Tech Report,Tech,2026-03-25 17:45:35,17,Wednesday,109958,2468,530,1755,"News,ai,grok,nvidia,Jensen Huang,openai bubble,openai sora,openai sora 2,openai sora 3,openai sora failure,openai sora demo,sora openai,openai sora explained,sora 3 openai,sora 2 openai,open ai sora,openai sora disaster,ai bubble or not,ai bubble pop,ai bubble,is ai in a bubble,ai is in a bubble,ai bubble crash,open ai sora disaster,ai bubble popping,the ai bubble,is ai a bubble,why ai is in a bubble,ai bubble explained",29,53,9,2.7265,2.2445,0.482,37600,191,4907987,GB,High,Long,2026-04-03 10:58:06
5hHM3LdKcRY,GOOD ONE | Gaurav Kapoor | Stand Up Comedy,UCeP5_FL11TnvXuvrFvALJyA,Gaurav Kapoor,Comedy,2026-02-26 05:24:29,5,Thursday,3112084,89339,1729,1942,no_tags,0,42,9,2.9263,2.8707,0.0556,1680000,209,503059616,,Viral,Long,2026-04-03 10:58:49
5lJtYT6FaxU,Resident Evil 9 Requiem | Full Game Gameplay Walkthrough (PS5 Pro) No Commentary,UCu22OwNLoiCTfqR4HC76cvA,Rubhen925,Gaming,2026-02-26 12:23:01,12,Thursday,695880,12288,1305,41398,"resident evil 9 requiem,resident evil 9,resident evil requiem,resident evil,re9,full game,ending,guide,how to beat,walkthrough,boss,good ending,bad ending,leon,leon kennedy,sherry,sherry birkin,grace,grace ashcroft,victor,victor gideon,secret,emily,gameplay,ps5,ps5 pro,gaming",27,80,13,1.9534,1.7658,0.1875,554000,7102,503283059,CA,High,Long,2026-04-03 10:58:23
5lkmTNrpauI,POPPY PLAYTIME: CHAPTER 5 Full Walkthrough / No Commentary【FULL GAME】4K Ultra HD,UCiZVMOinTQGb8HQu53VbV4Q,Gamer's Little Playground,Gaming,2026-02-19 02:28:22,2,Thursday,267191,5780,668,12726,"game,full,gameplay,no commentary,full gameplay,POPPY PLAYTIME: CHAPTER 5 Full Walkthrough / No Commentary【FULL GAME】4K Ultra HD,poppy playtime chapter 5 full game,poppy playtime chapter 5,poppy playtime 5,poppy playtime,poppy playtime chapter 5 gameplay,poppy playtime chapter 5 full walkthrough,poppy playtime 5 full game,poppy playtime chapter 5 all bosses,poppy playtime chapter 5 ending,poppy playtime chapter 5 walkthrough,huggy wuggy",17,80,12,2.4133,2.1632,0.25,3030000,6623,1691172480,US,High,Long,2026-04-03 10:58:23
5MvkFZRrIjM,ASSASSIN'S CREED ROGUE Gameplay Walkthrough FULL GAME [4K 60FPS PC ULTRA] - No Commentary,UC1bwliGvJogr7cWK0nT2Eag,MKIceAndFire,Gaming,2025-11-21 19:00:09,19,Friday,159862,2284,133,22545,"Assassin's Creed Rogue,Assassin's Creed Rogue Gameplay,Assassin's Creed Rogue Walkthrough Part 1,MKIceAndFire,No,Commentary,Assassin's Creed Rogue Ending,Assassin's Creed Rogue Full Game,Full Game,PS5 Pro,PS5,Xbox Series X,PS4,PC,Video Game,Campaign,Singleplayer",17,89,14,1.5119,1.4287,0.0832,4610000,7908,2726785591,,High,Long,2026-04-03 10:58:23
5RtVbWCX5y0,Which Workout Split Is Actually Best? (Science-Based),UC68TLK0mAEzUyHx5x5k-S1Q,Jeff Nippard,Fitness,2025-08-03 15:00:16,15,Sunday,14186268,428418,4218,59,"best workout split,workout split,workout splits,workout split for building muscle,muscle building split,total body split,bro split,full body workouts,best split for muscle growth,best workout split to build muscle,training split,training splits,push pull legs,upper lower,upper lower split,workout splits for mass,my workout split,3 day workout split,4 day workout split,workout split for beginners,jeff nippard split,jeff nippard training split",22,53,7,3.0497,3.0199,0.0297,8290000,617,1953166002,CA,Viral,Short,2026-04-03 10:58:31
5rzWHAv7Cu4,CONTROL Gameplay Walkthrough FULL GAME (4K 60FPS) No Commentary,UC7eAfUjR9gdIjoaoQaS0W-A,Shirrako,Gaming,2026-01-08 15:00:13,15,Thursday,81215,958,49,36216,"control ultimate edition,control dlcs,control dlc,control ultimate edition game,control ultimate edition games,control ultimate edition ending,control ultimate edition endings,control ultimate edition gameplay,control ultimate edition walkthrough,control ultimate edition full game,control ultimate edition full gameplay,control ultimate edition game and ending,control gameplay,control ultimate edition all cutscenes",14,63,9,1.2399,1.1796,0.0603,2540000,12543,2109547327,GB,Medium,Long,2026-04-03 10:58:23
5wM0GCEFCic,Excel Tutorial for Beginners in Hindi - Complete Microsoft Excel tutorial in Hindi for Excel users,UCf080waNXLQrLQ0roJR0Oaw,Computer Gyan,Education,2022-11-12 11:45:00,11,Saturday,4376952,150170,3261,4068,"computer gyan,basic computer course,excel course in hindi,excel for beginners,excel tutorial in hindi,excel tutorial for beginners,excel,microsoft excel,excel in hindi,excel hindi tutorial,Microsoft Excel,excel by computer gyan,excel tutorials,Complete Microsoft Excel tutorial,excel 2019,excel in hindi full course,excel for beginners 2022,excel full course hindi,learn excel in hindi,ms excel,complete excel tutorial in hindi",21,98,16,3.5054,3.4309,0.0745,1160000,492,92707557,IN,Viral,Long,2026-04-03 10:58:40
